City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
453,Ararat,AM,86.34,overcast clouds,39.8317,44.7049,NORSED MOTEL/НОРСЕД МОТЕЛЬ/ՆՈՐՍԵԴ ՄՈԹԵԼ
454,Gracac,HR,87.55,clear sky,44.3006,15.8547,"Apartment ""ANA"""
456,San Quintin,MX,79.88,clear sky,30.4833,-115.95,Don Eddie's Sport Fishing Center
457,Olinda,BR,82.13,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
458,Caravelas,BR,76.93,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
461,Conceicao Da Barra,BR,77.97,scattered clouds,-18.5933,-39.7322,Cricaré Praia Hotel
470,Ratnagiri,IN,79.7,overcast clouds,16.9833,73.3,Hotel Landmark
472,Honiara,SB,75.29,overcast clouds,-9.4333,159.95,Heritage Park Hotel
477,Malanje,AO,79.45,clear sky,-9.5402,16.341,Malanje Hotel
481,Phalaborwa,ZA,81.68,clear sky,-23.943,31.1411,Bothabelo Bed and Breakfast
483,Pericos,MX,78.85,overcast clouds,25.05,-107.7,CASA AARON CAMACHO VILLARREAL
488,Hoi An,VN,78.76,overcast clouds,15.8794,108.335,Belle Maison Hadana Hoi An managed by H&K Hospitality
490,Komsomolskiy,UZ,88.52,clear sky,40.4272,71.7189,Ikathouse
492,Tura,IN,75.16,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
495,Mlonggo,ID,78.24,broken clouds,-6.5333,110.7,Asia Metal Art
496,San Lawrenz,MT,87.85,clear sky,36.0553,14.204,San Andrea Hotel
498,Praia,CV,86.54,few clouds,14.9215,-23.5087,LT Aparthotel
504,Kuah,MY,80.6,few clouds,6.3265,99.8432,Azio Hotel
506,Gouyave,GD,86.77,broken clouds,12.1646,-61.7296,Rumboat Retreat
508,Agboville,CI,80.11,overcast clouds,5.928,-4.2132,hotel LE PRESTIGE
510,Broome,US,89.17,few clouds,42.2506,-75.833,Chenango Valley State Park
512,Huntsville,US,88.92,scattered clouds,34.7304,-86.5861,Embassy Suites by Hilton Huntsville Hotel & Spa
514,Tucupita,VE,86.65,broken clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
516,Marsa Matruh,EG,84.4,clear sky,31.3525,27.2453,Beau Site
517,Deep River,CA,78.94,overcast clouds,46.1001,-77.4995,Deep River Motel
519,Soyo,AO,75.16,broken clouds,-6.1349,12.3689,Hotel Mpampa
